,AP MusicTheory interest (scaled),MusicTheory interest (scaled)
0,0.2222222222222222,0.8513513513513515
1,0.2222222222222222,0.6891891891891893
2,0.2222222222222222,0.8783783783783785
3,0.4444444444444444,0.7567567567567568
4,0.2222222222222222,0.8243243243243243
5,0.0,0.48648648648648657
6,0.2222222222222222,0.6351351351351351
7,0.4444444444444444,0.6081081081081081
8,0.3333333333333333,1.0
9,0.1111111111111111,0.8243243243243243
10,0.2222222222222222,0.6756756756756759
11,0.1111111111111111,0.810810810810811
12,0.2222222222222222,0.945945945945946
13,0.3333333333333333,0.8648648648648649
14,0.3333333333333333,0.810810810810811
15,0.3333333333333333,0.8378378378378379
16,0.4444444444444444,0.7162162162162162
17,0.1111111111111111,0.5675675675675675
18,0.2222222222222222,0.6756756756756759
19,0.3333333333333333,0.6486486486486487
20,0.1111111111111111,0.9594594594594597
21,0.3333333333333333,0.7297297297297298
22,0.2222222222222222,0.6486486486486487
23,0.1111111111111111,0.7027027027027029
24,0.3333333333333333,0.7972972972972974
25,0.2222222222222222,0.7432432432432434
26,0.3333333333333333,0.7837837837837838
27,0.3333333333333333,0.5810810810810811
28,0.7777777777777777,0.47297297297297297
29,0.1111111111111111,0.4324324324324324
30,0.2222222222222222,0.3108108108108108
31,0.1111111111111111,0.527027027027027
32,0.3333333333333333,0.6486486486486487
33,0.1111111111111111,0.5810810810810811
34,0.2222222222222222,0.6486486486486487
35,0.1111111111111111,0.47297297297297297
36,0.4444444444444444,0.6351351351351351
37,0.3333333333333333,0.527027027027027
38,0.3333333333333333,0.5405405405405406
39,0.5555555555555556,0.5810810810810811
40,0.7777777777777777,0.48648648648648657
41,0.2222222222222222,0.27027027027027034
42,0.2222222222222222,0.2027027027027027
43,0.3333333333333333,0.4189189189189189
44,0.1111111111111111,0.5945945945945947
45,0.1111111111111111,0.47297297297297297
46,0.2222222222222222,0.445945945945946
47,0.2222222222222222,0.5
48,0.2222222222222222,0.4189189189189189
49,0.2222222222222222,0.4189189189189189
50,0.3333333333333333,0.4324324324324324
51,0.3333333333333333,0.4594594594594595
52,0.7777777777777777,0.5135135135135136
53,0.2222222222222222,0.3243243243243243
54,0.1111111111111111,0.25675675675675674
55,0.1111111111111111,0.3243243243243243
56,0.3333333333333333,0.4189189189189189
57,0.1111111111111111,0.445945945945946
58,0.2222222222222222,0.4324324324324324
59,0.2222222222222222,0.4324324324324324
60,0.2222222222222222,0.527027027027027
61,0.3333333333333333,0.527027027027027
